"","lake_id","station_id","country","subset","lake_name","lat_wgs84","lon_wgs84","altitude_m","area_ha","depth_mean_m","depth_max_m","cent_lat_wgs84","cent_lon_wgs84"
"458",425,"425_2","SE",NA,"Röströmssjön Södra Delen",64.2126797349108,16.2168251746047,261.2,1044.55,5.1,20.2,64.211317137403,16.2334290442428
"459",426,"426_1","SE",NA,"Rotsjön",59.5786491840351,15.809570741303,68.1,12.07,NA,NA,59.5804826596596,15.8079450692237
"460",427,"427_1","SE",NA,"Rottnen",56.7374146504067,15.1723846238901,148.9,3233.72,4.5,18,56.7458837218706,15.1113707054963
"461",428,"428_1","SE",NA,"Roxen",58.5128894854477,15.9722905338221,33.5,9450.47,4.7,8.5,58.5021831900634,15.6749428847038
"462",429,"429_1","SE",NA,"Rudusjön",60.1759305042393,16.472295177723,67.6,89.27,NA,NA,60.1763296407866,16.4550276442798
"463",430,"430_1","SE",NA,"Runn",60.4682230579125,15.5895179010431,107.4,6318.84,NA,27,60.5328222198267,15.6651419216849
"464",431,"431_1","SE",NA,"Ruokojärvi",66.6311170101554,23.2721165454846,155.6,95.56,NA,NA,66.6188845161325,23.2982394182899
"465",432,"432_1","SE",NA,"Rutajärvi",66.0173808648527,23.5116263781136,45.8,137.38,NA,NA,66.0220094988094,23.5254380517612
"466",433,"433_1","SE",NA,"Ryven",57.9691096105034,16.3906637576676,30.4,127.23,10.7,28,57.9788040177142,16.3575677591798
"467",434,"434_1","SE",NA,"Saddajaure",66.4116691305455,18.3280134813176,431.1,2037.14,NA,NA,66.4086019488637,18.2069289985093
"468",435,"435_1","SE",NA,"Såduggen",57.9936047718576,16.3105791952,53.2,89.91,NA,NA,58.0015434880826,16.2867871514358
"469",436,"436_1","SE",NA,"Sädvajaure",66.4396252863138,16.8303817040901,476.5,3984.12,23.7,120,66.4713944628999,16.5229622739349
"470",437,"437_1","SE",NA,"Saggat",66.8733205106499,18.2139102869984,302.7,3360.86,NA,83,66.8884151607444,17.927969566018
"471",438,"438_1","SE",NA,"Saittajärvi",67.3547813852094,22.2841848630924,209.8,349.43,NA,NA,67.345782677602,22.2617456321832
"472",439,"439_1","SE",NA,"Salen Södra Delen",56.8016265223862,14.5817007221011,142,1792.73,2.3,5.6,56.8306502710736,14.5607269767612
"473",440,"440_1","SE",NA,"Sällsjön",63.2376225933981,13.6939292586934,395.1,464.12,8.4,25.3,63.2070900566954,13.7044987111902
"474",441,"441_1","SE",NA,"Sandsjön",65.2405017258367,17.6891428764224,326.4,690.76,NA,NA,65.2250535676608,17.7069967988129
"475",442,"442_1","SE",NA,"Sandvikssjön",63.5920896307504,14.722846572567,284,1208.16,8.5,42,63.6176635417524,14.7281374338323
"476",443,"443_1","SE",NA,"Särnasjön",61.6614292032011,13.2401911336687,422.5,559.74,NA,NA,61.690798294969,13.1590976793351
"477",444,"444_1","SE",NA,"Satihaure",67.5046132917581,18.4488178545237,451,6840.25,NA,NA,67.4620074649222,18.7787965680106
"478",445,"445_1","SE",NA,"Sautusjärvi",67.858045879905,20.6399094228724,324.4,2417.7,NA,NA,67.8617449096104,20.7359021012692
"479",446,"446_1","SE",NA,"Sävsjön",57.5638037573503,14.6106979920746,308.6,30.18,2.1,3.7,57.5679615461962,14.6087927586828
"480",447,"447_1","SE",NA,"Seckan",60.7225483204971,15.8747299927697,120.9,37.67,NA,NA,60.727895927889,15.887225142528
"481",448,"448_1","SE",NA,"Sidsjön",62.3778353176179,17.2797664226702,68.4,34.31,3,13.6,62.3730939934557,17.2759110090685
"482",449,"449_1","SE",NA,"Siksjön",64.3227050972869,17.7236382740236,395.7,452.41,NA,NA,64.3295076842141,17.7759711688201
"483",450,"450_1","SE",NA,"Siljan Österviken",60.7472796258151,14.9616272504297,161.6,29075.69,NA,120,60.8690358098857,14.7957280685313
"484",450,"450_2","SE",NA,"Siljan Rättviken",60.8823267247814,15.0317188344916,161.6,29075.69,NA,120,60.8690358098857,14.7957280685313
"485",450,"450_3","SE",NA,"Siljan Saxviken",61.0026046300583,14.5555829383831,161.6,29075.69,NA,120,60.8690358098857,14.7957280685313
"486",450,"450_4","SE",NA,"Siljan Storsiljan So Sollerön",60.8982541988945,14.7365486648849,161.6,29075.69,NA,120,60.8690358098857,14.7957280685313
"487",450,"450_5","SE",NA,"Siljan Västersjön",60.9189218178494,14.5330522758495,161.6,29075.69,NA,120,60.8690358098857,14.7957280685313
"488",451,"451_1","SE",NA,"Simmelsjön",59.995066560268,15.1224341009692,292.7,145.53,6,19,59.9745469776883,15.1106891079844
"489",452,"452_1","SE",NA,"Skagern",58.9862440187778,14.1121384049686,68.7,13141.76,26.8,72,58.9859870776068,14.2785494435308
"490",453,"453_1","SE",NA,"Skalka",66.7980550218845,19.0551032721153,296.7,4876.64,NA,30,66.8495879338114,18.8513548465733
"491",454,"454_1","SE",NA,"Skalmsjösjön",63.5062229548545,17.7683248117968,162.8,49.91,NA,NA,63.5115136218203,17.7456233851137
"492",455,"455_1","SE",NA,"Skålsjön",62.6346692807571,14.2019565982041,437.6,97.1,3,13,62.641711079695,14.1735402874465
"493",456,"456_1","SE",NA,"Skärfajaure",66.4484246878983,17.9192183426113,451.9,1271.25,NA,NA,66.4905391974533,17.8427438191678
"494",457,"457_1","SE",NA,"Skattungen",61.1913814174808,14.9237334352326,200.2,1940.07,NA,52.5,61.1930043828782,15.0222888327153
"495",458,"458_1","SE",NA,"Smågan",61.0442178488085,13.4924508753696,478.7,120.06,NA,NA,61.0553246475913,13.492046935226
"496",459,"459_1","SE",NA,"Södertjärn",62.1041972588269,16.6631791368998,130.7,23.86,NA,5,62.1018555854622,16.6624430385774
"497",460,"460_1","SE",NA,"Södra Barken",60.0180102879755,15.757435597931,100.6,1388.6,NA,NA,60.0243389418972,15.6513377194432
"498",461,"461_1","SE",NA,"Södra Dellen",61.7564503269197,16.8595079462323,43.4,4988.07,24,53,61.8072293385578,16.7040527097548
"499",462,"462_1","SE",NA,"Södra Hörken",60.0274649970667,15.0397943867776,257.9,800.06,8.6,43.2,60.0388852110391,15.0303901102407
"500",463,"463_1","SE",NA,"Södra Lisjön",59.6716517974811,16.0672448521144,58.2,237.77,3.3,8.7,59.6843626713153,16.0702924048673
"501",464,"464_1","SE",NA,"Södra Lötsjön",61.0229408826853,12.8328006723415,423,144,5.9,12,61.0104740878404,12.8496366412571
"502",465,"465_1","SE",NA,"Solgen",57.5443121230728,15.1146849174816,195.5,2150.46,5.4,20,57.5593256904973,15.1485913770199
"503",466,"466_1","SE",NA,"Sommen",58.146912527321,15.04054724153,147.1,12971.2,16.7,53,58.006130248303,15.2011513749868
"504",467,"467_1","SE",NA,"Sörabysjön",57.0469725038758,14.8725264881982,173,265.96,2.6,3.7,57.0413251519771,14.8869670561288
"505",468,"468_1","SE",NA,"Sösjön",62.7477705305769,15.4988215285713,384.6,169.26,NA,NA,62.7641745744723,15.4791256222604
"506",469,"469_1","SE",NA,"Sottern",59.014646710825,15.54041854894,72.1,2764.57,4.3,16,59.0327212221003,15.4848383129233
"507",470,"470_1","SE",NA,"Soutujärvi",67.4330348363269,21.0570383852555,378.8,456.75,NA,NA,67.4261048150127,21.0927975522661
"508",471,"471_1","SE",NA,"Sporrsjön",63.7324422187667,15.8066013751501,276.1,936.8,0.7,5,63.7568305169913,15.7558108497054
"509",472,"472_1","SE",NA,"Stamseleviken",63.6920516865229,15.8862454764055,273.5,670.02,NA,NA,63.718530086253,15.7933175999532
"510",473,"473_1","SE",NA,"Stavsjön",62.328399400274,13.7594074849687,401.1,141.84,NA,35,62.3391420423787,13.7660642599508
"511",474,"474_1","SE",NA,"Stensjön",57.4955216730555,12.1705781366548,11.4,289.04,12.7,21,57.4913352767426,12.2019714199444
"512",475,"475_1","SE",NA,"Stensjön",57.6552425394553,12.0426049717946,49.4,38.73,4.4,10.6,57.659160161596,12.0472883787458
"513",476,"476_1","SE",NA,"Stensjön Vid Gränna",58.0656393170075,14.6075276181246,187.9,19.17,NA,NA,58.0693892821648,14.6046320139008
"514",477,"477_1","SE",NA,"Stensjön Vid Huskvarna",57.7466340066405,14.3769365389888,212.8,317.75,NA,10,57.7386897847624,14.3848229232158
