lake_id,station_id,country,subset,lake_name,lat_wgs84,lon_wgs84,altitude_m,area_ha,depth_mean_m,depth_max_m,cent_lat_wgs84,cent_lon_wgs84
32,32_1,SE,,Båven Delen Vid Sparreholm,58.95092554102938,16.882730208035632,21.6,6385.64,9.4,48.0,59.02395024534006,16.91723238001706
33,33_1,SE,,Bellvikssjön,64.2627918384532,16.160215340696976,261.2,882.77,,19.3,64.27434732509761,16.138414448107135
34,34_1,SE,,Bergvattensjön,64.02151079056476,16.78281925796944,373.0,82.27,,,64.01774068642985,16.778048927973266
35,35_1,SE,,Bergviken,61.25874933984174,16.833492368224586,46.4,4264.17,,39.7,61.22830886937889,16.71551349840421
36,36_1,SE,,Betarsjön,63.737030768119965,16.769348087553983,196.9,3386.87,9.8,43.2,63.74940798314545,16.845361721276582
37,37_1,SE,,Björken Vid Grangärde,60.23930508938158,15.011022162466702,155.0,353.88,,8.0,60.25478429947952,15.002268290374316
38,38_1,SE,,Björken Vid Ställdalen,59.91180534128891,14.958631272092898,153.0,164.98,,,59.92292334327491,14.957289372483777
39,39_1,SE,,Björkvattnet Nedre,65.48935107373842,15.591121990175314,395.0,5624.11,18.3,61.5,65.49990449954156,15.540293591983563
40,40_1,SE,,Björkvattnet Övre,65.57833367445615,15.296363571779379,395.0,2521.18,,74.0,65.6100313623635,15.212357993322488
41,41_1,SE,,Bjuren,59.04802073337731,16.602972936492538,26.9,24.3,,,59.05031675304724,16.61043126237925
42,42_1,SE,,Blattnickselet,65.32077399354768,17.625553954796327,329.3,310.52,,,65.33626822104014,17.58371893400457
43,43_1,SE,,Bodasjön,61.75429939789313,16.15758581956379,114.4,150.2,,15.0,61.76083597760168,16.129292757903155
44,44_1,SE,,Bodumsjön,63.88998773164174,16.283356224150623,214.2,751.51,3.6,22.4,63.93025859160248,16.27814347821562
45,45_1,SE,,Bolen,58.78031274412893,16.159246111471486,62.9,48.16,7.2,14.0,58.77796213853061,16.155589920950746
46,46_1,SE,,Bölessjön,63.92354766049687,16.332433963990617,214.2,258.69,,19.8,63.936475617391515,16.342644501524102
47,47_1,SE,,Bollsjön,60.161438019761114,16.320363300831847,67.9,51.98,,,60.16894740283658,16.31397637581419
48,48_1,SE,,Bolmen,56.925344708773494,13.670177219231528,141.9,17226.91,5.4,36.0,56.92638462685537,13.70308276813554
48,48_2,SE,,Bolmen Norra Delen,57.04338314656918,13.745796934919346,141.9,17226.91,5.4,36.0,56.92638462685537,13.70308276813554
48,48_3,SE,,Bolmen Södra Delen,56.83083933953581,13.659177221569983,141.9,17226.91,5.4,36.0,56.92638462685537,13.70308276813554
49,49_1,SE,,Borasjön,58.971124177760096,14.568936562502715,107.8,384.22,,,58.95603711146731,14.554475721696965
50,50_1,SE,,Bordsjön,57.83478642351236,14.979506000409744,251.7,49.4,,,57.837892826166865,14.982470118215304
51,51_1,SE,,Boren,58.557134685928844,15.272295990003709,73.6,2749.67,5.3,13.0,58.55905372161661,15.180142616474228
52,52_1,SE,,Borgasjön,64.80509400773273,15.025861815260372,464.1,1652.24,20.2,70.0,64.85157029415907,14.936168038964372
53,53_1,SE,,Borgsjön,62.5296754491955,15.924872118363714,113.1,459.22,4.1,19.0,62.540656289844215,15.87968433585424
54,54_1,SE,,Borgsjön,63.39880020302514,15.867821551617379,348.4,168.9,,,63.41055338823765,15.838153789137623
55,55_1,SE,,Borkajaure,65.23287273305121,15.461698935397463,523.2,553.76,18.8,58.7,65.25240284831806,15.394892869459323
56,56_1,SE,,Bornsjön,59.25901835637253,17.71439914261632,11.6,631.14,,17.0,59.24029250957084,17.743511857770812
57,57_1,SE,,Börringesjön,55.49574245677596,13.301146364991393,49.0,275.35,1.5,3.0,55.48515173630679,13.313577121803217
58,58_1,SE,,Bosjön,58.7943866587596,14.621244216479145,157.0,102.12,2.2,16.0,58.79585835947632,14.635336525026904
59,59_1,SE,,Bouktjaure,66.76267664216374,17.28160839096634,476.0,149.65,,,66.77389323659494,17.26803146031746
60,60_1,SE,,Bredsjön,57.518908708180604,16.305846963959127,48.7,75.94,7.1,29.0,57.52152349527685,16.292102312422827
61,61_1,SE,,Bruksjön,57.6512701942316,16.36795982428859,41.9,35.81,,,57.64675180253025,16.365137949989222
62,62_1,SE,,Brukssjön (Rödjarbosjön),61.95928442965227,16.717818904681245,160.9,130.31,2.5,20.0,61.96647094241461,16.697603584942463
63,63_1,SE,,Brunnsjön,60.27183318723743,15.969916366463833,90.9,139.98,2.3,3.6,60.27553634242839,15.955570845124047
64,64_1,SE,,Bygdeträsket,64.3510968417885,20.496839690756556,131.4,2904.27,,,64.41492018870693,20.455171428416644
65,65_1,SE,,Bysjön,60.17041952204027,16.56261628345728,62.4,727.83,,16.5,60.17961949204535,16.50844188049058
66,66_1,SE,,Bysjön,60.25022224494348,14.976265738534167,155.1,502.91,,20.0,60.24664289781629,14.96900142239708
67,67_1,SE,,Bysjön,60.894018455153905,16.720055985421187,74.9,214.0,,,60.900295887278446,16.703407934964375
68,68_1,SE,,Bysjön,58.19306624434556,15.993580126047949,95.1,98.18,,,58.190719866824146,15.981236809173291
69,69_1,SE,,Byvattsjön,63.39307325736387,17.65273724069939,198.2,66.29,,,63.390953603759264,17.62286290545258
70,70_1,SE,,Daglösen Södra Delen,59.63581670880028,14.240678897242416,128.3,724.59,,26.0,59.66140420223357,14.203145048275314
71,71_1,SE,,Dalkarlsjön,59.93123432475793,14.128395676550447,301.3,291.97,,20.5,59.947660464142345,14.149947657701109
72,72_1,SE,,Dammsjön,59.74699459723309,14.9861085660735,196.7,101.61,,13.0,59.74955046379831,14.967512794622788
73,73_1,SE,,Digeshultasjön,56.89076741041737,12.966883109937442,162.9,21.49,2.1,9.5,56.89158445304523,12.961405947672139
74,74_1,SE,,Dikasjön,65.2145172279548,16.041889703169893,418.3,637.65,4.9,15.5,65.2224567195305,15.925122127777481
75,75_1,SE,,Djupträsket,66.32450504406638,22.875219103187494,36.7,859.86,,,66.28370679545911,22.911951287017047
76,76_1,SE,,Drogsjön,62.751015227497945,16.297943633105607,201.8,94.24,4.8,13.9,62.75530836026593,16.28130498429607
77,77_1,SE,,Ellenösjön,58.496842452840546,11.91851408535378,66.1,288.67,,7.0,58.50490526084462,11.95334128360239
78,78_1,SE,,Eneby Göl,57.888785625410335,16.16294397887319,85.9,12.46,,,57.885971807015814,16.1645745843116
79,79_1,SE,,Erken,59.85400132764526,18.651236049941133,11.6,2320.94,,20.0,59.84585050177557,18.57178130484493
80,80_1,SE,,Fåfallasjön,58.1965362484208,16.409697027020307,52.7,45.62,,,58.19554617946724,16.422308673076213
81,81_1,SE,,Fågelsjön,61.79706422209108,14.637365135781186,408.5,791.33,,,61.78328168594982,14.651068773561315
